"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"510",1229291,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513",824235,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514",739693,861891,NA,NA,NA,NA,NA,NA,NA,NA
"515",673117,1125634,1208755,NA,NA,NA,NA,NA,NA,NA
"516",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517",55195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519",967764,1384160,NA,NA,NA,NA,NA,NA,NA,NA
"520",38652,668074,NA,NA,NA,NA,NA,NA,NA,NA
"521",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522",354171,661981,NA,NA,NA,NA,NA,NA,NA,NA
"523",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524",1017960,1166288,1238353,1241466,1257796,1315117,1315854,1344011,NA,NA
"525",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526",112831,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527",112619,279369,405782,719439,1220105,NA,NA,NA,NA,NA
"528",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529",594130,595940,685627,778266,1437289,1439333,1448055,NA,NA,NA
"530",140701,273064,813719,NA,NA,NA,NA,NA,NA,NA
"531",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533",283921,981514,NA,NA,NA,NA,NA,NA,NA,NA
"534",993849,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535",294885,762779,862203,1028827,NA,NA,NA,NA,NA,NA
"536",1258074,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537",632344,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538",525694,1159936,1288880,NA,NA,NA,NA,NA,NA,NA
"539",657724,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540",1105584,1438534,NA,NA,NA,NA,NA,NA,NA,NA
"541",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543",1455118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"546",297182,880870,889587,1251436,NA,NA,NA,NA,NA,NA
"547",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549",802297,1236909,NA,NA,NA,NA,NA,NA,NA,NA
"550",672663,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551",207983,319230,555298,686355,761497,917964,1110147,1232074,1396651,NA
"552",275767,936939,1113594,NA,NA,NA,NA,NA,NA,NA
"553",52605,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555",443516,509568,850633,1065250,1212432,NA,NA,NA,NA,NA
"556",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"558",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"559",657727,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561",797288,893721,1461112,NA,NA,NA,NA,NA,NA,NA
"562",1008100,1402484,NA,NA,NA,NA,NA,NA,NA,NA
"563",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566",490831,994090,1141845,1163765,NA,NA,NA,NA,NA,NA
"567",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568",853794,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570",926153,1143744,1364869,NA,NA,NA,NA,NA,NA,NA
"571",1347752,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572",41214,1321569,1409237,NA,NA,NA,NA,NA,NA,NA
"573",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578",47775,131849,805735,NA,NA,NA,NA,NA,NA,NA
"579",906724,1174607,NA,NA,NA,NA,NA,NA,NA,NA
"580",34018,371910,376541,1294218,NA,NA,NA,NA,NA,NA
"581",990354,1180532,NA,NA,NA,NA,NA,NA,NA,NA
"582",81217,363458,666961,1140053,NA,NA,NA,NA,NA,NA
"583",1229564,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584",991463,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585",222057,236550,327053,398511,459188,481585,654950,1150673,NA,NA
"586",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587",23336,224548,436172,487302,507757,512689,612763,705159,NA,NA
"588",52607,571531,NA,NA,NA,NA,NA,NA,NA,NA
"589",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590",937784,1240463,1361087,NA,NA,NA,NA,NA,NA,NA
"591",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592",5565,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593",424068,467614,626028,668710,964737,988555,NA,NA,NA,NA
"594",139709,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595",514694,1339529,NA,NA,NA,NA,NA,NA,NA,NA
"596",33165,330016,616625,875412,NA,NA,NA,NA,NA,NA
"597",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598",1404760,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599",510840,571962,1346397,NA,NA,NA,NA,NA,NA,NA
"600",560994,657726,665922,683329,940638,NA,NA,NA,NA,NA
"601",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"602",340757,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604",1229456,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605",922164,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
